,prices,dateAdded,lat,long,propertyType,numBathroom,numBedroom,numBed,numPeople,house_num,street_name,zipcodes
0,107.0,2015-10-28,30.2616848987,-97.7079166698,House,1.0,1.0,1.0,2.0,2816,Prado Street,78702
2,59.0,2016-03-30,30.4063887078,-97.7171908468,Apartment,1.0,1.0,1.0,2.0,11902,Burnet Road,78758
3,59.0,2015-11-05,30.43971663,-97.7531159383,House,1.0,1.0,1.0,2.0,6508,McNeil Drive,78729
5,100.0,2015-10-21,30.2729693249,-97.8058899928,House,1.0,1.0,1.0,2.0,3409,Rosefinch Trail,78746
6,65.0,2016-08-05,30.2481294706,-97.8969504505,Apartment,1.0,1.0,1.0,3.0,6800,Covered Bridge Drive,78736
7,65.0,2016-04-08,30.2428785294,-97.896567542,House,1.0,1.0,1.0,2.0,8500,Red Willow Drive,78736
8,90.0,2016-04-02,30.2684572915,-97.7987424391,Apartment,1.0,0.0,1.0,2.0,3102,Eaneswood Drive,78746
9,150.0,2015-10-13,30.2459196861,-97.9110731194,Apartment,1.0,1.0,1.0,2.0,9401,Claxton Drive,78736
10,44.0,2016-08-05,30.3693339077,-97.6514856165,House,1.0,1.0,1.0,2.0,2121,Tin Can Drive,78754
11,140.0,2016-05-23,30.2451444586,-97.7437155876,House,1.0,1.0,2.0,2.0,1603,Alameda Drive,78704
12,800.0,2015-10-25,30.2468191758,-97.7436358783,House,1.0,1.0,1.0,3.0,1400,Sunset Lane,78704
15,645.0,2015-10-28,30.2214244658,-97.7348379332,House,1.0,2.0,2.0,5.0,3006,Burleson Road,78741
16,150.0,2015-10-25,30.2270043266,-97.7387790555,House,2.0,2.0,2.0,4.0,1913,Carlson Drive,78741
17,85.0,2016-03-25,30.3009670545,-97.7357360603,Apartment,1.0,1.0,1.0,2.0,3702,Home Lane,78705
18,125.0,2015-10-25,30.2727714191,-97.7329004118,House,1.0,1.0,1.0,2.0,1300,North Interstate 35 Frontage Road,78701
19,188.0,2015-10-25,30.3000612466,-97.7406593132,House,2.0,3.0,3.0,6.0,613,West 33rd Street,78705
20,89.0,2016-05-07,30.2502184026,-97.7666724792,Apartment,1.0,0.0,1.0,2.0,1800,South Lamar Boulevard,78704
21,89.0,2016-08-04,30.2767528278,-97.7530607721,Apartment,1.0,1.0,1.0,2.0,1102,Baylor Street,78703
22,119.0,2015-10-25,30.2738297859,-97.7563016472,Apartment,1.0,1.0,4.0,6.0,1121,West 7th Street,78703
23,149.0,2015-10-25,30.2657800035,-97.7407934003,Apartment,1.0,1.0,1.0,3.0,300,East 4th Street,78701
28,40.0,2015-10-21,30.312408819,-97.730562976,Apartment,1.0,1.0,1.0,2.0,400,West 46th Street,78751
29,1400.0,2015-10-25,30.2483768798,-97.7617369625,House,1.0,2.0,6.0,6.0,912,West Mary Street,78704
46,179.0,2015-10-25,30.2660397114,-97.7425820651,Apartment,1.0,1.0,2.0,4.0,401,Congress Avenue,78701
47,980.0,2016-04-18,30.2466895834,-97.7553240062,House,2.0,5.0,5.0,10.0,413B,West Annie Street,78704
61,3200.0,2015-10-25,30.2890202819,-97.7497704311,Apartment,1.0,1.0,1.0,2.0,2408,Leon Street,78705
73,4500.0,2015-11-01,30.2670314929,-97.7415017791,Apartment,1.0,2.0,4.0,6.0,501,Brazos Street,78701
77,650.0,2016-04-18,30.2967501936,-97.7431131112,Apartment,1.0,1.0,1.0,3.0,2911,Rio Grande Street,78705
100,1300.0,2015-10-25,30.2568517918,-97.7666193316,House,3.5,5.0,7.0,12.0,1700,Margaret Street,78704
101,3500.0,2015-10-25,30.2594390481,-97.7662967863,House,1.0,1.0,2.0,4.0,900,Garner Avenue,78704
102,60.0,2015-12-15,30.297167522,-97.7330324556,Apartment,1.0,1.0,1.0,2.0,305,East 34th Street,78705
103,150.0,2015-10-25,30.2480832805,-97.7756872989,House,1.0,2.0,4.0,6.0,2215,Bluebonnet Lane,78704
104,150.0,2016-05-23,30.2480031418,-97.7794416595,House,1.0,2.0,2.0,5.0,2107,Montclaire Street,78704
105,149.0,2015-10-25,30.2572038379,-97.7726520756,House,1.0,1.0,2.0,4.0,2102,Ashby Avenue,78704
106,1399.0,2015-11-01,30.2563524534,-97.7753495256,House,3.5,5.0,6.0,10.0,1701,Rabb Road,78704
107,180.0,2016-03-27,30.2931145375,-97.7339497135,Apartment,1.0,1.0,2.0,2.0,3101,Benelva Drive,78705
108,3600.0,2016-04-20,30.2585077902,-97.7698557517,House,1.5,2.0,4.0,6.0,1107,Bluebonnet Lane,78704
109,199.0,2016-08-21,30.2496285773,-97.7715978217,House,2.0,3.0,5.0,8.0,2102,Oxford Avenue,78704
110,800.0,2016-03-27,30.293072013,-97.7218242421,Apartment,2.0,2.0,2.0,6.0,3400,Harmon Avenue,78705
111,99.0,2015-10-28,30.2542298339,-97.7728104093,Apartment,1.0,1.0,1.0,2.0,1712,Bluebonnet Lane,78704
112,1000.0,2015-10-25,30.2619720687,-97.7656164839,House,2.0,2.0,6.0,8.0,1806,Linscomb Avenue,78704
113,230.0,2016-03-27,30.2990324778,-97.742825803,House,1.0,1.0,2.0,4.0,700,West 31st Street,78705
114,305.0,2016-03-27,30.2640391382,-97.7641484016,House,1.0,1.0,1.0,3.0,1853,Barton Springs Road,78704
115,125.0,2016-08-21,30.291116385,-97.7445689154,Apartment,1.0,1.0,1.0,2.0,2606,Rio Grande Street,78705
