,propertyType,prices,zipcodes,home_type,tax_year,tax_value,year_built,property_size,home_size,bathrooms,bedrooms,zestimate_amount
0,House,107.0,78702,SingleFamily,2015.0,192439.0,1961.0,6294.0,730.0,1.0,2.0,281162.0
2,House,100.0,78746,SingleFamily,2015.0,491696.0,1981.0,9409.0,1991.0,2.0,,640646.0
3,House,65.0,78736,SingleFamily,,,2008.0,13068.0,3026.0,3.0,4.0,399599.0
4,House,44.0,78754,SingleFamily,2015.0,187606.0,2010.0,5872.0,1764.0,3.0,3.0,216260.0
5,House,97.0,78704,SingleFamily,2015.0,717736.0,2010.0,6595.0,2147.0,2.0,3.0,749497.0
6,House,200.0,78741,Condominium,,,2012.0,,1201.0,2.0,2.0,251129.0
8,House,189.0,78705,SingleFamily,2015.0,626173.0,1922.0,7013.0,1647.0,1.0,,643281.0
9,House,980.0,78704,SingleFamily,2015.0,353371.0,1947.0,7884.0,929.0,2.0,3.0,437977.0
10,House,1500.0,78704,SingleFamily,2015.0,444871.0,1939.0,6517.0,956.0,1.0,,489823.0
11,House,150.0,78704,MultiFamily2To4,2015.0,650000.0,2010.0,1060687680.0,1100.0,1.7,,
12,House,150.0,78704,Duplex,2015.0,347561.0,1966.0,10672.0,1302.0,2.0,,463245.0
13,House,149.0,78704,SingleFamily,2015.0,438041.0,1996.0,6738.0,1531.0,1.0,0.0,520991.0
14,House,1099.0,78704,SingleFamily,2015.0,562722.0,1955.0,8525.0,2080.0,3.0,,679635.0
15,House,199.0,78704,SingleFamily,2015.0,398641.0,1933.0,6233.0,837.0,1.0,,448449.0
16,House,1000.0,78704,SingleFamily,2015.0,1476073.0,1999.0,23357.0,3992.0,3.0,,1338043.0
17,House,230.0,78705,Duplex,2015.0,418705.0,1925.0,4635.0,1316.0,2.0,,430944.0
19,House,300.0,78705,Apartment,,,,,,1.0,1.0,
20,House,950.0,78705,SingleFamily,2015.0,747301.0,1935.0,8712.0,2615.0,2.0,4.0,705376.0
21,House,110.0,78741,Condominium,2015.0,226585.0,2012.0,3776.0,1408.0,2.5,2.0,286308.0
23,House,700.0,78704,SingleFamily,2015.0,462659.0,1950.0,6461.0,1057.0,1.0,,506787.0
24,House,400.0,78741,SingleFamily,2015.0,130730.0,1976.0,13503.0,1789.0,3.0,5.0,260571.0
25,House,495.0,78704,SingleFamily,2015.0,511537.0,1943.0,9300.0,1008.0,1.0,3.0,520676.0
26,House,1400.0,78704,SingleFamily,2015.0,525727.0,1954.0,9147.0,1642.0,1.0,3.0,599688.0
27,House,375.0,78704,SingleFamily,2015.0,435766.0,1954.0,8324.0,1170.0,2.0,,490509.0
28,House,450.0,78704,SingleFamily,2015.0,542360.0,1948.0,7501.0,1844.0,2.0,,677131.0
29,House,300.0,78705,SingleFamily,2015.0,535808.0,1939.0,8220.0,2006.0,3.0,,580665.0
30,House,249.0,78704,SingleFamily,2015.0,398166.0,1952.0,7910.0,1020.0,1.0,,474652.0
31,House,650.0,78704,SingleFamily,2015.0,412213.0,1955.0,8194.0,1295.0,2.0,,503002.0
32,House,999.0,78705,Duplex,2015.0,676000.0,1940.0,8390.0,3668.0,4.0,,793062.0
33,House,300.0,78704,SingleFamily,2015.0,511537.0,1943.0,9300.0,1008.0,1.0,3.0,520676.0
34,House,350.0,78705,MultiFamily2To4,,,1966.0,,576.0,1.0,1.0,422186.0
36,Townhouse,595.0,78704,SingleFamily,2015.0,810493.0,2011.0,6233.0,2457.0,3.0,3.0,840078.0
37,House,288.0,78704,Condominium,2015.0,259778.0,2005.0,5009.0,2960.0,3.0,3.0,504619.0
38,House,60.0,78705,Apartment,,,,,400.0,1.0,0.0,
39,House,190.0,78704,SingleFamily,2015.0,367722.0,1952.0,7640.0,847.0,1.0,,457785.0
40,House,400.0,78704,SingleFamily,2015.0,653886.0,1937.0,10724.0,1748.0,1.0,,674593.0
42,House,500.0,78704,SingleFamily,2013.0,181842.0,1933.0,6739.0,1398.0,1.0,,391987.0
43,House,695.0,78704,SingleFamily,2015.0,561029.0,1950.0,7275.0,1840.0,3.0,,684534.0
44,Townhouse,795.0,78704,SingleFamily,2015.0,789261.0,1953.0,18378.0,1143.0,1.0,,683778.0
45,House,130.0,78741,MultiFamily2To4,2015.0,135408.0,1968.0,10280.0,1902.0,2.0,0.0,270944.0
46,House,120.0,78741,SingleFamily,2015.0,228201.0,1962.0,12349.0,1025.0,1.0,,269307.0
47,House,100.0,78741,MultiFamily2To4,2015.0,147105.0,1967.0,7230.0,2016.0,1.0,2.0,276162.0
48,House,250.0,78741,Condominium,,,,,900.0,1.0,2.0,186156.0
49,House,210.0,78741,Duplex,2015.0,158897.0,1972.0,7231.0,1806.0,2.0,,243631.0
50,House,500.0,78741,Condominium,,,2010.0,3777.0,1408.0,3.0,3.0,235411.0
52,House,225.0,78731,SingleFamily,2015.0,706306.0,1987.0,24219.0,3354.0,4.0,4.0,846143.0
53,House,174.0,78704,SingleFamily,2015.0,889554.0,2011.0,8817.0,3753.0,3.0,4.0,1250265.0
54,House,600.0,78746,SingleFamily,2015.0,793315.0,1979.0,16113.0,2841.0,2.0,,1040675.0
58,House,400.0,78745,Condominium,2015.0,270451.0,2007.0,7013.0,1550.0,2.0,3.0,290440.0
59,House,189.0,78729,SingleFamily,2015.0,265400.0,1993.0,,2180.0,2.5,,264745.0
61,House,250.0,78757,SingleFamily,2015.0,428956.0,1967.0,9322.0,1784.0,2.0,,489425.0
62,House,75.0,78759,SingleFamily,2015.0,408593.0,1996.0,5589.0,1575.0,2.0,,444680.0
63,House,135.0,78729,Condominium,2015.0,8231.0,,168142.0,,,,180149.0
65,House,50.0,78748,SingleFamily,2015.0,173854.0,1997.0,5554.0,1851.0,2.0,,225884.0
67,House,55.0,78735,SingleFamily,2015.0,253756.0,1961.0,9749.0,1620.0,2.0,,323395.0
68,House,345.0,78725,SingleFamily,2015.0,262209.0,2014.0,6639.0,1657.0,2.0,3.0,294554.0
70,House,65.0,78748,SingleFamily,2015.0,500.0,,505448.0,,,,
71,House,30.0,78724,SingleFamily,2015.0,147818.0,2007.0,4791.0,1422.0,3.0,3.0,166103.0
73,House,35.0,78758,SingleFamily,2015.0,182748.0,1973.0,8359.0,1455.0,2.0,,235824.0
76,House,450.0,78746,SingleFamily,2015.0,1240660.0,1994.0,16944.0,4700.0,5.0,5.0,1546822.0
78,House,49.0,78703,SingleFamily,2015.0,560000.0,1945.0,10149.0,1279.0,1.0,2.0,615850.0
79,House,39.0,78748,SingleFamily,2015.0,476126.0,1939.0,254826.0,,,,478255.0
